YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,WS50M,WD50M
2011,2,19,13,26.69,20.19,0,2.09,330.65
2011,2,19,14,26.55,20.5,0,2.04,342.88
2011,2,19,15,25.79,21.5,0,2.26,357.03
2011,2,19,16,23.23,35.38,0,2.88,14.94
2011,2,19,17,19.26,41.25,0,4.04,29.69
2011,2,19,18,17.41,43.75,0,5.17,39.36
2011,2,19,19,16.38,44.94,0,6.04,45.47
2011,2,19,20,15.55,45.94,0,6.4,49.7
2011,2,19,21,14.78,47.5,0,6.34,54.53
2011,2,19,22,14.08,49.12,0,6.12,60.72
2011,2,19,23,13.47,50.75,0,5.88,67.9
2011,2,20,0,12.9,52.44,0,5.63,75.21
2011,2,20,1,12.39,54,0,5.41,81.87
2011,2,20,2,11.93,55.62,0,5.21,86.73
2011,2,20,3,11.5,57.25,0,5.02,87.68
2011,2,20,4,11.08,59,0,4.84,85.09
2011,2,20,5,10.69,61.06,0,4.62,81.54
2011,2,20,6,11.08,61.25,0,4.2,80.68
2011,2,20,7,14.58,50.5,0,2.96,85.3
2011,2,20,8,17.44,43.38,0,1.65,106.54
2011,2,20,9,22.47,30.06,0.01,2.33,82.3
2011,2,20,10,24.98,25,0.06,1.75,58.16
2011,2,20,11,25.89,23.81,0.28,1.06,31.11
2011,2,20,12,26.4,23.31,0.34,0.88,338.2
2011,2,20,13,26.56,23.19,0.15,1.28,306.8
2011,2,20,14,26.34,23.56,0.09,2.05,299.88
2011,2,20,15,25.65,24.38,0.02,2.85,299.24
2011,2,20,16,23.4,37.56,0.01,3.64,299.87
2011,2,20,17,19.39,46.62,0,4.64,303.53
2011,2,20,18,17.81,48.44,0.01,5.49,309.05
2011,2,20,19,16.9,50.69,0.01,6.22,315.41
2011,2,20,20,16.05,54.06,0.06,6.23,321.52
2011,2,20,21,15.17,58.44,0.3,5.72,326.2
2011,2,20,22,14.39,62.88,0.47,5.18,329.57
2011,2,20,23,13.73,67,0.67,4.69,332.41
2011,2,21,0,13.21,70.31,0.32,4.26,336.07
2011,2,21,1,12.64,73.06,0.18,3.98,340.75
2011,2,21,2,11.92,76.5,0.02,4.06,344.15
2011,2,21,3,11.14,80.62,0.15,4.48,347.01
2011,2,21,4,10.47,84.44,0,5,349.57
2011,2,21,5,9.89,87.75,0,5.36,349.93
2011,2,21,6,10.15,88.12,0,5.2,347.78
2011,2,21,7,11.87,82.81,0,3.51,342.65
2011,2,21,8,14.7,73.5,0,2.29,335.01
